Location,Latitude,Longitude,Cases
"USA: Suffolk Co., NY",40.94519085,-72.84243645466222,66
"USA: Richmond Co., NY",40.5722049,-74.1132797,15
"USA: Orange Co., NY",41.34653152605976,-74.64431547956521,13
"USA: Erie Co., NY",42.971301249999996,-78.91816944956798,35
"USA: New York Co., NY",40.750632,-73.9687884,4
"USA: Bronx Co., NY",40.90707773167347,-73.89655066196792,8
"USA: Niagara Co., NY",43.089233899999996,-78.99405175699069,17
"USA: Washington Co., NY",40.6741254,-73.9628915,2
"USA: Fulton Co., NY",40.707532,-73.629751,1
"USA: Kings Co., NY",40.682781750000004,-73.98186420415755,6
"USA: Monroe Co., NY",43.08704765,-77.6359891899468,9
"USA: Queens Co., NY",40.7628617,-73.9156368,14
"USA: Livingston Co., NY",42.7532359,-77.884246,2
"USA: Seneca Co., NY",43.0008131,-75.9793541,1
"USA: Madison Co., NY",42.930121,-75.852512,4
"USA: Schenectady Co., NY",42.8009687,-73.95917232846558,6
"USA: Essex Co., NY",44.2895166,-73.985409,1
"USA: Schoharie Co., NY",42.71501170560753,-74.27621207196094,1
"USA: Steuben Co., NY",42.1434494,-77.0576897,1
"USA: Cayuga Co., NY",42.84225912833981,-76.6859989007722,1
"USA: Schuyler Co., NY",42.3761270919122,-76.87108291540308,1
"USA: Saratoga Co., NY",42.84084555,-73.7765998,1
USA: MS,32.9715285,-89.7348497,1
USA: TX,31.2638905,-98.5456116,8
USA: SD,44.6471761,-100.348761,3
USA: CA,36.7014631,-118.755997,1
USA: ND,47.6201461,-100.540737,2
USA: WY,43.1700264,-107.568534,1
USA: GA,32.3293809,-83.1137366,3
USA: LA,33.6298175,-86.34433262228262,2
USA: NM,34.5802074,-105.996047,1
USA: OH,40.2253569,-82.6881395,3
USA: NE,41.7370229,-99.5873816,2
USA: IL,40.0796606,-89.4337288,1
"USA: Fort Collins, CO",40.521639,-105.060652,1
USA: New York,40.7127281,-74.0060152,78
"USA: Houston, Harris Co., TX",29.71419685,-95.31525779154208,1
"USA: Gilbert, Maricopa Co., AZ",33.3770386,-111.8268087,11
"USA: Glendale, Maricopa Co., AZ",33.52347825,-112.20249125000001,2
"USA: Phoenix, Maricopa Co., AZ",33.638834349999996,-112.11336885,2
"USA: Harris Co., Texas",29.71419685,-95.31525779154208,6
"USA: Katy, Harris Co., Texas",29.77939635,-95.80410830325485,3
"USA: Pasadena, Harris Co., Texas",29.6635055,-95.14969171169736,1
"USA: Houston, Harris Co., Texas",29.71419685,-95.31525779154208,4
"USA: Denton, Denton Co., Texas",33.2314189,-97.1344674,1
"USA: Plano, Collin Co., Texas",33.08014700462227,-96.73642912715827,1
USA: Texas,31.2638905,-98.5456116,48
USA: ID,43.6447642,-114.015407,8
USA: UT,39.4225192,-111.714358,1
USA: NV,39.5158825,-116.853722,5
"USA: El Paso, Texas",31.98249,-106.58457,7
USA: Connecticut,41.6500201,-72.7342163,180
"USA: DeKalb County, Georgia",33.74852345,-84.07825409285283,2
"USA: St. Tammany Parish, Louisiana",30.531858,-89.9484066,2
"USA: Hinds County, Mississippi",32.329669550000006,-90.1798118358695,2
USA: Illinois,40.0796606,-89.4337288,37
USA: zip code 85652,37.02341749202275,-80.7831415009914,1
USA: zip code 85741,37.02341749202275,-80.7831415009914,2
USA: zip code 85712,37.02341749202275,-80.7831415009914,1
USA: zip code 85716,37.02341749202275,-80.7831415009914,3
USA: zip code 91331,37.02341749202275,-80.7831415009914,1
USA: zip code 90249,37.02341749202275,-80.7831415009914,1
USA: zip code 90242,37.02341749202275,-80.7831415009914,1
USA: zip code 90631,37.02341749202275,-80.7831415009914,1
USA: zip code 92832,37.02341749202275,-80.7831415009914,2
USA: zip code 91762,37.02341749202275,-80.7831415009914,1
USA: zip code 92374,37.02341749202275,-80.7831415009914,1
USA: zip code 91786,37.02341749202275,-80.7831415009914,1
USA: zip code 92373,37.02341749202275,-80.7831415009914,1
USA: zip code 67070,37.02341749202275,-80.7831415009914,1
USA: zip code 48183,37.02341749202275,-80.7831415009914,1
USA: zip code 48126,37.02341749202275,-80.7831415009914,1
USA: zip code 48125,37.02341749202275,-80.7831415009914,2
USA: zip code 48150,37.02341749202275,-80.7831415009914,1
USA: zip code 48180,37.02341749202275,-80.7831415009914,1
USA: zip code 63130,37.02341749202275,-80.7831415009914,1
USA: zip code 63136,37.02341749202275,-80.7831415009914,1
USA: zip code 63137,37.02341749202275,-80.7831415009914,1
USA: zip code 58503,37.02341749202275,-80.7831415009914,1
USA: zip code 58501,37.02341749202275,-80.7831415009914,1
USA: zip code 58504,37.02341749202275,-80.7831415009914,1
USA: zip code 68845,37.02341749202275,-80.7831415009914,2
USA: zip code 68104,37.02341749202275,-80.7831415009914,2
USA: zip code 68105,37.02341749202275,-80.7831415009914,1
USA: zip code 68801,37.02341749202275,-80.7831415009914,3
USA: zip code 68644,37.02341749202275,-80.7831415009914,1
USA: zip code 88044,37.02341749202275,-80.7831415009914,1
USA: zip code 57701,37.02341749202275,-80.7831415009914,2
USA: New Mexico,34.5802074,-105.996047,3
USA: Louisiana,30.8703881,-92.007126,30
"USA: Illinois, Cook County",41.8197385,-87.756525,266
USA: California,36.7014631,-118.755997,7
"USA: St. Joseph County, IN",41.6277167,-86.2563685,30
Puerto Rico,18.2247706,-66.4858295,5
USA: New York City,40.7127281,-74.0060152,1
"USA: Florida, Indian River County",27.7041555,-80.5894422,1
USA: Florida,27.7567667,-81.4639835,4
USA: North Dakota,47.6201461,-100.540737,1
USA: Arizona,34.395342,-111.763275,2
"USA: Illinois, Lee",41.74731105,-89.28602959086061,1
"USA: Illinois, Lake",42.332738,-87.9939552,3
"USA: Illinois, Rock Island",41.4411786,-90.5766144,1
"USA: Illinois, Dupage",41.8603735,-88.0906873,1
"USA: Illinois, Kane",41.923434,-88.4248315,1
"USA: Illinois, Cook",41.8197385,-87.756525,30
"USA: Illinois, Kendall",41.5853584,-88.4319488,1
"USA: Illinois, Mchenry",42.3294391,-88.4605713,3
"USA: Illinois, Winnebago",42.3255276,-89.1496574,1
"USA: Illinois, Springfield",39.7990175,-89.6439575,1
"USA: Illinois, Rockford",42.2713945,-89.093966,1
"USA: Illinois, Henry",41.3418549,-90.1177442,1
"USA: Illinois, Crawford",39.0131644,-87.7291001,1
"USA: Illinois, Iroquois",40.7351265,-87.8309209,2
"USA: Illinois, Clinton",38.5896187,-89.420064,2
"USA: Illinois, Perry",38.0772859,-89.3760499,4
"USA: Illinois, Macoupin",39.2420653,-89.925212,1
"USA: Illinois, Grundy",41.2747363,-88.4119361,1
"USA: Illinois, Douglas",39.7628415,-88.2170516,1
"USA: Illinois, Moultrie",39.6391442,-88.6087498,1
"USA: Illinois, Mclean",40.4631789,-88.8196613,2
"USA: Illinois, Champaign",40.1164841,-88.2430932,2
"USA: Illinois, Dekalb",41.8903447,-88.7713953,1
"USA: Illinois, Bond",38.8630331,-89.4391416,1
"USA: Illinois, Vermilion",40.1749809,-87.7323857,1
"USA: Illinois, Will",41.4194058,-87.9994754,1
"USA: Illinois, Fayette",39.0001282,-89.0430211,1
USA: Lubbock TX,33.52940015,-101.90433593298451,4
USA: Dallas TX,32.77480490000001,-96.86081128092721,2
"USA: Rapid City, SD",44.129664446700005,-103.27752577779324,1
USA: Amarillo TX,35.1904928,-101.79490510512383,7
USA: El Paso TX,31.7458848,-106.32991159936527,4
USA: Tyler TX,32.37326675,-95.27853026886143,5
USA: Bismark ND,29.766601874416622,-95.37449305029446,12
USA: Albuquerque NM,35.089425250000005,-106.52796466003994,11
USA: Elyria OH,41.4051917,-82.1337874,1
USA: Rapid City SD,44.072913650000004,-103.2111585417303,13
USA: Minneapolis MN,44.9339977,-93.22324568864325,3
USA: Cheyenne WY,32.811772500000004,-83.7994663,2
USA: Memphis TN,35.0725448,-89.86225139632433,1
USA: Jackson TN,35.55166415,-88.8088188588267,2
USA: Sioux City IA,42.4966815,-96.4058782,2
USA: Lincoln NE,40.845209350000005,-96.73995300743306,3
USA: Houston TX,29.71419685,-95.31525779154208,1
USA: Sioux Falls SD,43.587422450000005,-96.729797258373,3
USA: South Bend IN,41.6689661,-86.2510517,3
USA: Rochester MN,44.0319619,-92.4576356,1
USA: Kansas City MO,39.222323855968625,-94.47129922121228,3
USA: New York NY,43.1561681,-75.8449946,3
USA: Davenport IA,41.5595906,-90.62355492555318,1
USA: Tampa FL,27.9529744,-82.4508736,9
USA: Orlando FL,28.5479786,-81.41278418563017,1
USA: Miami FL,25.774779,-80.193757,3
USA: Indianapolis IN,39.8600756,-85.97670462056809,3
USA: San Antonio TX,29.884212552803305,-97.67545815607141,5
USA: New Orleans LA,30.003891,-90.0383689,6
USA: Oklahoma City OK,35.4646455,-97.534311165136,8
USA: Bethlehem PA,40.6313422,-75.3766083,1
USA: Tempe AZ,33.4049288,-111.9764606,10
USA: Grand Junction CO,39.119977899999995,-108.52515259756254,8
USA: Goose Creek SC,32.9961038,-80.0387292,1
USA: Los Angeles CA,34.08589625,-118.3850183275666,3
USA: Little Rock AK,34.7465071,-92.2896267,1
USA: Shreveport LA,32.448772649999995,-93.86711726601692,2
USA: Las Vegas NV,36.168634195344474,-115.1409982245093,2
USA: San Diego CA,32.7166921,-117.169295,1
USA: Sanborn MN,43.1816313,-95.6558649,1
USA: San Francisco CA,37.7792588,-122.4193286,1
USA: Ontario CA,34.07132075,-117.5929394914029,1
USA: La Habra CA,33.9316066,-117.9454867,1
"USA:Cochise Co., Arizona",31.46322875,-109.59110968728993,1
"USA:Apache Co., Arizona",36.924289200000004,-109.08558678618255,1
"USA:Los Angeles, California",34.0745997,-118.0534304,3
USA:California,36.7014631,-118.755997,2
"USA:Sacramento, California",38.5522894,-121.3352076575167,1
USA:Louisiana,30.8703881,-92.007126,2
USA: Iowa,41.9216734,-93.3122705,1
"USA: NY, Queens",40.7135078,-73.8283132,1
"USA: NY, Broome",42.1455623,-75.8404114,1
"USA: NY, Westchester",41.1763139,-73.7907554,1
"USA: NY, Albany",42.6511674,-73.754968,1
"USA: NY, Suffolk",40.8832318,-72.8578027,2
"USA: NY, Chautauqua",42.2894671,-79.421728,1
"USA: NY, Rockland",41.1519319,-74.0357266,1
"USA: NY, Clinton",40.7652778,-73.993889,1
"USA: NY, Nassau",40.7352994,-73.5615778,1
USA: IN,40.3270127,-86.1746933,1
"USA: TX, Harris",29.8119769,-95.3741247,1
USA: Kansas,38.27312,-98.5821872,3
"USA: Kansas, Dodge City",37.7527982,-100.0170787,1
"USA: Kansas, Chapman",38.972221,-97.022514,1
"USA: Kansas, Liberal",37.0430812,-100.920999,1
"USA: Texas, Nueces county",27.7153774,-97.6199942,2
"USA: Texas, Gregg county",32.4492408,-94.8532848,1
"USA: Texas, Tarrant county",32.7513658,-97.335696,1
"USA: Texas, Wichita county",33.9516534,-98.7088886,1
"USA: Texas, Randall county",34.9444713,-101.8850309,1
"USA: Texas, El Paso county",31.8072184,-106.2230394,1
USA: Alabama,33.2588817,-86.8295337,2
"USA: Texas, Galveston county",29.3872254,-94.992736,1
"USA: Texas, Jefferson county",29.834772,-94.1704496,3
"USA: Texas, Orange county",30.1228634,-93.9041169,1
"USA: Harris County, TX",29.71419685,-95.31525779154208,10
"USA: Montgomery County, TX",30.1867984,-95.49013537017454,1
"USA: Galveston County, TX",29.40414285,-95.03641981885097,2
USA: Maryland,39.5162401,-76.9382069,1
USA: New Jersey,40.0757384,-74.4041622,1
"USA:Connecticut, Westport",41.1414855,-73.3578955,1
"USA:Connecticut, East Haven",41.2762081,-72.8684337,1
Kosovo: Prishtina,42.6638771,21.1640849,1
Kosovo,42.5869578,20.9021231,4
Russia: Volgograd,48.7081906,44.5153353,136
Russia: Tatarstan,55.448217,50.4763591,3
Russia: Stavropol,44.8632577,43.4406913,4
Russia: Shchyolkovo,55.9206499,37.9915576,1
Russia: Rostov,47.2216548,39.7096061,9
Russia: Oryol,52.968017149999994,36.09949941816104,2
Russia: Krasnodar,45.0351532,38.9772396,8
Russia: Astrakhan,46.3498308,48.0326203,11
Russia: Moscow,55.625578,37.6063916,2
Russia: Bashkortostan,54.4747553,55.9784582,1
Russia: Saratov,51.530018,46.034683,1
Russia: Kabardino-Balkaria,43.4428286,43.4204809,1
Russia: Vladikavkaz,43.024593,44.68211,1
Russia: Kalmikia,46.9017116,45.249161,3
Russia: Karachay-Cherkessia,43.7368326,41.7267991,1
Russia: Voronezh,51.6605982,39.2005858,2
Russia: Urupinsk,50.79029875,42.028803545563356,1
Russia: Dagestan,43.0,47.0,1
Russia: Volgograd region,48.8134221,44.80052530408642,13
Russia,64.6863136,97.7453061,35
Russia: Astrakhan region,46.3343174,48.0433201,3
"Russia: Rostov, Don",47.1982342,39.68466567897185,3
Russia: Far Eastern Region,59.30953195,137.40724008504645,1
Russia:Volgograd,48.7081906,44.5153353,2
Tunisia,36.8002068,10.1857757,43
France: Nouvelle-Aquitaine,45.4039367,0.3756199,9
France: Corsica,42.188089649999995,9.068413771427695,1
France,46.603354,1.8883335,8
Albania,5.7587654,-73.9151617,1
Argentina,-34.9964963,-64.9672817,8
Australia,-24.7761086,134.755,41
Australia: Victoria,-36.5986096,144.6780052,1
Australia: New South Wales,-31.8759835,147.2869493,2
"Australia: Wentworth, NSW",-33.7100169,150.375105,4
"Australia: Bourke, NSW",-30.0896957,145.9365208,1
Australia: Mt Isa,-20.7289898,139.4931522,6
Australia: Normanton QLD Gulf,-17.6711856,141.07967845117832,4
Austria,47.59397,14.12456,40
Austria: Vienna International Airport,48.10499675,16.5848987032657,10
"Austria: Illmitz, Burgenland",47.7620712,16.7993288,2
"Austria: Floridsdorf, Vienna",48.2548834,16.4079072,1
"Austria: Donaustadt, Vienna",48.23505285,16.417788170651285,2
"Austria: Leopoldstadt, Vienna",48.2138034,16.40817450036988,3
"Austria: Meidling, Vienna",48.1639115,16.3232439,1
"Austria: Hietzing, Vienna",48.1876575,16.289775793857963,1
Austria: Leopoldstadt Vienna,48.2202167,16.3796495,1
Austria: Lake Neusiedl,47.80074505,16.736872075487717,1
Azerbaijan,40.3936294,47.7872508,7
Belarus: Gomel region,52.3128262,29.5418527,1
Belgium,50.6402809,4.6667145,2
Brazil,-10.3333333,-53.2,8
"Brazil: Ipira, Bahia",-12.157381493860093,-39.738631822536995,1
Brazil: Piaui,-7.6992782,-42.5043787,1
Brazil: Sao Paulo,-23.5506507,-46.6333824,1
Brazil: Minas Gerais,-18.5264844,-44.1588654,1
British Virgin Islands: Necker Island,18.526598200000002,-64.35835805619485,1
Bulgaria,42.6073975,25.4856617,4
Canada,61.0666922,-107.991707,26
Canada: Alberta,55.001251,-115.002136,3
Canada: Saskatchewan,55.5321257,-106.141224,8
Canada: Manitoba,55.001251,-97.001038,1
Central African Republic,7.0323598,19.9981227,2
China,35.0000663,104.999955,6
Colombia,4.099917,-72.9088133,2
Colombia: Medellin,6.269732449999999,-75.60255965090315,2
Costa Rica,10.2735633,-84.0739102,1
Geo_Location,39.16600447840242,-79.70466799118523,1
Croatia,45.3658443,15.6575209,2
Cyprus,34.9174159,32.889902651331866,2
Czech Republic,49.7439047,15.3381061,5
Democratic Republic of the Congo,-2.9814344,23.8222636,1
Egypt,26.2540493,29.2675469,2
Egypt: Sharqiya,30.8,31.8,1
Ethiopia,10.2116702,38.6521203,1
Germany,51.1638175,10.4478313,124
Greece: Corinthia,37.96299085,22.733342367236247,2
Greece: Messenia,36.986899050000005,21.827124950019492,3
